user_ID,traj_ID,venue_ID,UTC_time,traj_Len,venue_category_name,longitude,latitude
10502709@N05,1,7,2007-06-02 00:59:19,3,Cultural,-79.37732735752459,43.647150975158695
10502709@N05,1,11,2007-06-02 05:40:51,3,Cultural,-79.3944584713709,43.66718257115105
10502709@N05,1,27,2007-06-02 06:04:27,3,Shopping,-79.3909345777776,43.67010353968252
10502709@N05,2,28,2008-05-24 13:02:44,3,Structure,-79.38118417735065,43.65218102670948
10502709@N05,2,23,2008-05-24 15:06:52,3,Shopping,-79.3798840401936,43.65386815219711
10502709@N05,2,22,2008-05-24 16:43:34,3,Beach,-79.38370190118991,43.65247820927004
10502709@N05,3,22,2009-10-17 04:18:09,4,Beach,-79.38370190118991,43.65247820927004
10502709@N05,3,28,2009-10-17 04:22:42,4,Structure,-79.38118417735065,43.65218102670948
10502709@N05,3,23,2009-10-17 04:35:48,4,Shopping,-79.3798840401936,43.65386815219711
10502709@N05,3,21,2009-10-17 04:48:40,4,Beach,-79.38045327151268,43.65627400696254
10627620@N06,4,3,2012-03-13 02:20:12,3,Sport,-79.3800452078488,43.66217527180223
10627620@N06,4,23,2012-03-13 03:44:08,3,Shopping,-79.3798840401936,43.65386815219711
10627620@N06,4,27,2012-03-13 04:23:03,3,Shopping,-79.3909345777776,43.67010353968252
10627620@N06,5,21,2012-03-23 22:53:30,3,Beach,-79.38045327151268,43.65627400696254
10627620@N06,5,23,2012-03-23 23:42:03,3,Shopping,-79.3798840401936,43.65386815219711
10627620@N06,5,30,2012-03-24 01:46:54,3,Structure,-79.3805837906372,43.64565054031221
11090433@N05,6,3,2008-10-04 13:24:58,4,Sport,-79.3800452078488,43.66217527180223
11090433@N05,6,23,2008-10-04 13:59:20,4,Shopping,-79.3798840401936,43.65386815219711
11090433@N05,6,22,2008-10-04 14:07:08,4,Beach,-79.38370190118991,43.65247820927004
11090433@N05,6,30,2008-10-04 17:21:11,4,Structure,-79.3805837906372,43.64565054031221
11191102@N07,7,16,2013-01-25 23:28:53,3,Amusement,-79.38706547902999,43.642849137630805
11191102@N07,7,4,2013-01-25 23:52:29,3,Sport,-79.38928974410585,43.64129736845744
11191102@N07,7,22,2013-01-26 05:13:02,3,Beach,-79.38370190118991,43.65247820927004
11191102@N07,8,27,2013-05-25 01:24:08,3,Shopping,-79.3909345777776,43.67010353968252
11191102@N07,8,23,2013-05-25 03:48:46,3,Shopping,-79.3798840401936,43.65386815219711
11191102@N07,8,11,2013-05-25 04:09:25,3,Cultural,-79.3944584713709,43.66718257115105
11191102@N07,9,7,2013-12-14 06:39:16,3,Cultural,-79.37732735752459,43.647150975158695
11191102@N07,9,30,2013-12-14 07:00:13,3,Structure,-79.3805837906372,43.64565054031221
11191102@N07,9,22,2013-12-14 07:48:15,3,Beach,-79.38370190118991,43.65247820927004
11241023@N03,10,7,2007-09-19 03:16:11,3,Cultural,-79.37732735752459,43.647150975158695
11241023@N03,10,22,2007-09-19 05:45:25,3,Beach,-79.38370190118991,43.65247820927004
11241023@N03,10,28,2007-09-19 05:50:54,3,Structure,-79.38118417735065,43.65218102670948
11349639@N00,11,16,2006-05-29 15:41:33,3,Amusement,-79.38706547902999,43.642849137630805
11349639@N00,11,4,2006-05-29 15:44:13,3,Sport,-79.38928974410585,43.64129736845744
11349639@N00,11,30,2006-05-29 15:48:18,3,Structure,-79.3805837906372,43.64565054031221
13273343@N00,12,30,2005-05-21 03:31:03,3,Structure,-79.3805837906372,43.64565054031221
13273343@N00,12,16,2005-05-21 05:28:28,3,Amusement,-79.38706547902999,43.642849137630805
13273343@N00,12,8,2005-05-21 05:56:38,3,Cultural,-79.3853489798394,43.64238526267252
13528098@N00,13,16,2014-03-29 01:42:13,3,Amusement,-79.38706547902999,43.642849137630805
13528098@N00,13,8,2014-03-29 01:46:28,3,Cultural,-79.3853489798394,43.64238526267252
13528098@N00,13,30,2014-03-29 06:26:09,3,Structure,-79.3805837906372,43.64565054031221
13644648@N03,14,22,2013-06-18 00:14:27,13,Beach,-79.38370190118991,43.65247820927004
13644648@N03,14,7,2013-06-18 00:14:31,13,Cultural,-79.37732735752459,43.647150975158695
13644648@N03,14,23,2013-06-18 00:55:13,13,Shopping,-79.3798840401936,43.65386815219711
13644648@N03,14,28,2013-06-18 00:55:14,13,Structure,-79.38118417735065,43.65218102670948
13644648@N03,14,1,2013-06-18 01:01:55,13,Sport,-79.379243379063,43.64318250142281
13644648@N03,14,29,2013-06-18 01:01:58,13,Structure,-79.39126472274569,43.66213848048437
13644648@N03,14,30,2013-06-18 01:01:58,13,Structure,-79.3805837906372,43.64565054031221
13644648@N03,14,8,2013-06-18 01:09:08,13,Cultural,-79.3853489798394,43.64238526267252
13644648@N03,14,6,2013-06-18 01:19:25,13,Cultural,-79.39239594093709,43.65366205295312
13644648@N03,14,11,2013-06-18 01:30:10,13,Cultural,-79.3944584713709,43.66718257115105
13644648@N03,14,24,2013-06-18 01:30:10,13,Shopping,-79.38232002042837,43.63862138326839
13644648@N03,14,4,2013-06-18 01:41:48,13,Sport,-79.38928974410585,43.64129736845744
13644648@N03,14,16,2013-06-18 01:41:48,13,Amusement,-79.38706547902999,43.642849137630805
13672753@N00,15,8,2011-08-31 08:09:47,4,Cultural,-79.3853489798394,43.64238526267252
13672753@N00,15,16,2011-08-31 08:18:57,4,Amusement,-79.38706547902999,43.642849137630805
13672753@N00,15,4,2011-08-31 10:11:28,4,Sport,-79.38928974410585,43.64129736845744
13672753@N00,15,22,2011-08-31 11:38:00,4,Beach,-79.38370190118991,43.65247820927004
13907834@N00,16,16,2010-02-19 23:14:17,3,Amusement,-79.38706547902999,43.642849137630805
13907834@N00,16,4,2010-02-19 23:14:44,3,Sport,-79.38928974410585,43.64129736845744
13907834@N00,16,8,2010-02-20 01:06:59,3,Cultural,-79.3853489798394,43.64238526267252
13907834@N00,17,21,2010-03-15 06:28:04,3,Beach,-79.38045327151268,43.65627400696254
13907834@N00,17,27,2010-03-15 06:46:52,3,Shopping,-79.3909345777776,43.67010353968252
13907834@N00,17,11,2010-03-15 06:49:41,3,Cultural,-79.3944584713709,43.66718257115105
14391210@N00,18,30,2008-10-04 10:14:38,3,Structure,-79.3805837906372,43.64565054031221
14391210@N00,18,22,2008-10-04 10:35:36,3,Beach,-79.38370190118991,43.65247820927004
14391210@N00,18,6,2008-10-04 11:44:34,3,Cultural,-79.39239594093709,43.65366205295312
14391210@N00,19,30,2008-10-18 01:20:38,4,Structure,-79.3805837906372,43.64565054031221
14391210@N00,19,22,2008-10-18 06:14:12,4,Beach,-79.38370190118991,43.65247820927004
14391210@N00,19,28,2008-10-18 06:30:36,4,Structure,-79.38118417735065,43.65218102670948
